"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","2043","17",
"0500000US06003","Alpine County, California","-","**",
"0500000US06005","Amador County, California","1126","57",
"0500000US06007","Butte County, California","1172","24",
"0500000US06009","Calaveras County, California","1430","140",
"0500000US06011","Colusa County, California","974","86",
"0500000US06013","Contra Costa County, California","2061","23",
"0500000US06015","Del Norte County, California","999","83",
"0500000US06017","El Dorado County, California","1409","45",
"0500000US06019","Fresno County, California","1098","11",
"0500000US06021","Glenn County, California","954","68",
"0500000US06023","Humboldt County, California","1079","33",
"0500000US06025","Imperial County, California","892","28",
"0500000US06027","Inyo County, California","988","58",
"0500000US06029","Kern County, California","1063","16",
"0500000US06031","Kings County, California","1098","31",
"0500000US06033","Lake County, California","1116","91",
"0500000US06035","Lassen County, California","969","48",
"0500000US06037","Los Angeles County, California","1653","5",
"0500000US06039","Madera County, California","1120","29",
"0500000US06041","Marin County, California","2307","56",
"0500000US06043","Mariposa County, California","1058","124",
"0500000US06045","Mendocino County, California","1176","40",
"0500000US06047","Merced County, California","1125","24",
"0500000US06049","Modoc County, California","748","43",
"0500000US06051","Mono County, California","1228","149",
"0500000US06053","Monterey County, California","1718","21",
"0500000US06055","Napa County, California","1880","53",
"0500000US06057","Nevada County, California","1380","76",
"0500000US06059","Orange County, California","2057","12",
"0500000US06061","Placer County, California","1734","31",
"0500000US06063","Plumas County, California","1031","87",
"0500000US06065","Riverside County, California","1552","15",
"0500000US06067","Sacramento County, California","1434","11",
"0500000US06069","San Benito County, California","1703","57",
"0500000US06071","San Bernardino County, California","1427","11",
"0500000US06073","San Diego County, California","1842","9",
"0500000US06075","San Francisco County, California","2130","27",
"0500000US06077","San Joaquin County, California","1387","19",
"0500000US06079","San Luis Obispo County, California","1654","32",
"0500000US06081","San Mateo County, California","2599","34",
"0500000US06083","Santa Barbara County, California","1810","27",
"0500000US06085","Santa Clara County, California","2530","18",
"0500000US06087","Santa Cruz County, California","1925","46",
"0500000US06089","Shasta County, California","1140","29",
"0500000US06091","Sierra County, California","978","195",
"0500000US06093","Siskiyou County, California","893","39",
"0500000US06095","Solano County, California","1802","28",
"0500000US06097","Sonoma County, California","1856","29",
"0500000US06099","Stanislaus County, California","1315","19",
"0500000US06101","Sutter County, California","1167","34",
"0500000US06103","Tehama County, California","1028","68",
"0500000US06105","Trinity County, California","869","92",
"0500000US06107","Tulare County, California","1037","18",
"0500000US06109","Tuolumne County, California","1105","89",
"0500000US06111","Ventura County, California","1976","27",
"0500000US06113","Yolo County, California","1475","32",
"0500000US06115","Yuba County, California","1060","58",
