county,state,county_fips,fred_series_id,series_title,source_url
Santa Cruz County,CA,06087,DP04ACS006087,"Burdened Households (5-year estimate) in Santa Cruz County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Shasta County,CA,06089,DP04ACS006089,"Burdened Households (5-year estimate) in Shasta County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Sierra County,CA,06091,DP04ACS006091,"Burdened Households (5-year estimate) in Sierra County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Siskiyou County,CA,06093,DP04ACS006093,"Burdened Households (5-year estimate) in Siskiyou County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Solano County,CA,06095,DP04ACS006095,"Burdened Households (5-year estimate) in Solano County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Sonoma County,CA,06097,DP04ACS006097,"Burdened Households (5-year estimate) in Sonoma County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Stanislaus County,CA,06099,DP04ACS006099,"Burdened Households (5-year estimate) in Stanislaus County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Sutter County,CA,06101,DP04ACS006101,"Burdened Households (5-year estimate) in Sutter County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Tehama County,CA,06103,DP04ACS006103,"Burdened Households (5-year estimate) in Tehama County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Trinity County,CA,06105,DP04ACS006105,"Burdened Households (5-year estimate) in Trinity County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Tulare County,CA,06107,DP04ACS006107,"Burdened Households (5-year estimate) in Tulare County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Tuolumne County,CA,06109,DP04ACS006109,"Burdened Households (5-year estimate) in Tuolumne County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Ventura County,CA,06111,DP04ACS006111,"Burdened Households (5-year estimate) in Ventura County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Yolo County,CA,06113,DP04ACS006113,"Burdened Households (5-year estimate) in Yolo County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Yuba County,CA,06115,DP04ACS006115,"Burdened Households (5-year estimate) in Yuba County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
