"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","2357","16",
"0500000US06003","Alpine County, California","-","**",
"0500000US06005","Amador County, California","1421","96",
"0500000US06007","Butte County, California","1414","26",
"0500000US06009","Calaveras County, California","1625","146",
"0500000US06011","Colusa County, California","1157","69",
"0500000US06013","Contra Costa County, California","2375","22",
"0500000US06015","Del Norte County, California","1233","64",
"0500000US06017","El Dorado County, California","1715","65",
"0500000US06019","Fresno County, California","1392","16",
"0500000US06021","Glenn County, California","1120","85",
"0500000US06023","Humboldt County, California","1287","52",
"0500000US06025","Imperial County, California","1056","30",
"0500000US06027","Inyo County, California","1189","112",
"0500000US06029","Kern County, California","1300","21",
"0500000US06031","Kings County, California","1331","49",
"0500000US06033","Lake County, California","1368","81",
"0500000US06035","Lassen County, California","1000","100",
"0500000US06037","Los Angeles County, California","1954","6",
"0500000US06039","Madera County, California","1390","42",
"0500000US06041","Marin County, California","2668","83",
"0500000US06043","Mariposa County, California","1305","164",
"0500000US06045","Mendocino County, California","1317","51",
"0500000US06047","Merced County, California","1343","27",
"0500000US06049","Modoc County, California","836","48",
"0500000US06051","Mono County, California","1629","211",
"0500000US06053","Monterey County, California","2055","32",
"0500000US06055","Napa County, California","2237","56",
"0500000US06057","Nevada County, California","1677","96",
"0500000US06059","Orange County, California","2434","13",
"0500000US06061","Placer County, California","2069","44",
"0500000US06063","Plumas County, California","1194","85",
"0500000US06065","Riverside County, California","1901","17",
"0500000US06067","Sacramento County, California","1790","12",
"0500000US06069","San Benito County, California","1992","113",
"0500000US06071","San Bernardino County, California","1801","15",
"0500000US06073","San Diego County, California","2246","11",
"0500000US06075","San Francisco County, California","2476","30",
"0500000US06077","San Joaquin County, California","1734","23",
"0500000US06079","San Luis Obispo County, California","1992","45",
"0500000US06081","San Mateo County, California","2922","40",
"0500000US06083","Santa Barbara County, California","2131","35",
"0500000US06085","Santa Clara County, California","2857","19",
"0500000US06087","Santa Cruz County, California","2264","51",
"0500000US06089","Shasta County, California","1317","39",
"0500000US06091","Sierra County, California","-","**",
"0500000US06093","Siskiyou County, California","1091","73",
"0500000US06095","Solano County, California","2163","31",
"0500000US06097","Sonoma County, California","2158","30",
"0500000US06099","Stanislaus County, California","1623","24",
"0500000US06101","Sutter County, California","1439","44",
"0500000US06103","Tehama County, California","1184","71",
"0500000US06105","Trinity County, California","1073","210",
"0500000US06107","Tulare County, California","1280","25",
"0500000US06109","Tuolumne County, California","1302","95",
"0500000US06111","Ventura County, California","2317","25",
"0500000US06113","Yolo County, California","1857","42",
"0500000US06115","Yuba County, California","1311","54",
