"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","2318","17",
"0500000US06003","Alpine County, California","-","**",
"0500000US06005","Amador County, California","1380","106",
"0500000US06007","Butte County, California","1369","31",
"0500000US06009","Calaveras County, California","1615","142",
"0500000US06011","Colusa County, California","1139","67",
"0500000US06013","Contra Costa County, California","2322","22",
"0500000US06015","Del Norte County, California","1182","59",
"0500000US06017","El Dorado County, California","1626","59",
"0500000US06019","Fresno County, California","1300","15",
"0500000US06021","Glenn County, California","1103","75",
"0500000US06023","Humboldt County, California","1249","45",
"0500000US06025","Imperial County, California","1012","39",
"0500000US06027","Inyo County, California","1140","88",
"0500000US06029","Kern County, California","1220","17",
"0500000US06031","Kings County, California","1228","36",
"0500000US06033","Lake County, California","1292","110",
"0500000US06035","Lassen County, California","1043","72",
"0500000US06037","Los Angeles County, California","1893","6",
"0500000US06039","Madera County, California","1307","59",
"0500000US06041","Marin County, California","2584","83",
"0500000US06043","Mariposa County, California","1268","165",
"0500000US06045","Mendocino County, California","1325","54",
"0500000US06047","Merced County, California","1284","29",
"0500000US06049","Modoc County, California","818","71",
"0500000US06051","Mono County, California","1593","212",
"0500000US06053","Monterey County, California","1995","37",
"0500000US06055","Napa County, California","2141","67",
"0500000US06057","Nevada County, California","1635","99",
"0500000US06059","Orange County, California","2352","9",
"0500000US06061","Placer County, California","1991","45",
"0500000US06063","Plumas County, California","1034","148",
"0500000US06065","Riverside County, California","1814","13",
"0500000US06067","Sacramento County, California","1702","13",
"0500000US06069","San Benito County, California","1922","103",
"0500000US06071","San Bernardino County, California","1706","14",
"0500000US06073","San Diego County, California","2154","13",
"0500000US06075","San Francisco County, California","2419","26",
"0500000US06077","San Joaquin County, California","1633","27",
"0500000US06079","San Luis Obispo County, California","1899","42",
"0500000US06081","San Mateo County, California","2893","36",
"0500000US06083","Santa Barbara County, California","2050","30",
"0500000US06085","Santa Clara County, California","2814","16",
"0500000US06087","Santa Cruz County, California","2172","50",
"0500000US06089","Shasta County, California","1267","38",
"0500000US06091","Sierra County, California","1181","705",
"0500000US06093","Siskiyou County, California","1043","60",
"0500000US06095","Solano County, California","2088","31",
"0500000US06097","Sonoma County, California","2093","40",
"0500000US06099","Stanislaus County, California","1528","28",
"0500000US06101","Sutter County, California","1364","35",
"0500000US06103","Tehama County, California","1159","64",
"0500000US06105","Trinity County, California","922","220",
"0500000US06107","Tulare County, California","1206","22",
"0500000US06109","Tuolumne County, California","1247","103",
"0500000US06111","Ventura County, California","2248","23",
"0500000US06113","Yolo County, California","1757","39",
"0500000US06115","Yuba County, California","1209","59",
